abide, anıt 
kas, adale
katı, sert
kati, kesin
kayıp, yitik
keder, acı
kelime, sözcük
kenar, kıyı
kent, şehir
kere, defa, kez
kesin,  kati
kırmızı, al
kıyı, sahil
kir, pislik
kirli, pis
kişi, şahıs
kocaman, iri
komedi, güldürü
komik, gülünç
kontrol, denetim
konuk, misafir
konut, ev
koşul, şart
kural, kaide
kuruluş, müessese, kurum
kuşku, şüphe
kutsal, mukaddes
kuvvet, güç
kuzey, şimal
küme, grup
küs, dargın
kılavuz, rehber
kolay, basit
laf, söz
lahza, an
lider, önder
lisan, dil
lüzumlu, gerekli
lüzumsuz, gereksiz
lal, dilsiz
lama, deve
lafazan, geveze
mabet, tapınak
macera, serüven
mafsal, eklem
mağlup, yenik
mahalli, yerel
mahcup, utangaç
mahluk,  yaratık
mahpushane, hapishane
mahsul, ürün
mana, anlam
manzara, görünüm
matbaa, basımevi
matem, yas
mebus, milletvekili
mecbur, zorunlu
mecmua, dergi
medeni, uygar
medeniyet, uygarlık
mektep, okul
melodi, ezgi
menfaat, çıkar
menfi, olumsuz
menkul, taşınır
meridyen, boylam
mesafe, ara
mesela, örneğin
mesele, sorun
mesken, konuk
meslek, iş
mesul, sorumlu
mesut, mutlu
meşhur, ünlü
meşrubat, içecek
mevcut, var
meydan, alan
millet, ulus
milletvekili, mebus
milli, ulusal
misafir, konuk
misal, örnek
misli, katı
muavin, yardımcı
muharebe, savaş
muhtelif, çeşitli
muştu, müjde
müessese, kurum, kuruluş
mühim, önemli
mükafat, ödül
müsabaka, yarışma
müsait, uygun
müspet, olumlu
müstahsil, üretici
müstakil, bağımsız
müşteri, alıcı
merkep, eşek
mani, engel
mübarek, kutsal
muallim, öğretmen
mektup, name
merasim, tören
nadir, ender
nakil, atama, taşıma
nasihat, öğüt
nebat, bitki
neden, sebep
nefes, soluk
nehir, ırmak
nem, rutubet
nesil, kuşak
nesir, düzyazı
neşe, sevinç
netice, sonuç
nispet, oran
nitelik, kalite
noksan, eksik
numune, örnek
nutuk, söylev
nakit, para, akça
nakliyeci, taşımacı
namzet, aday
okul, mektep
olanak, imkan
olası, mümkün
olay, vaka
olumlu, müspet
olumsuz, menfi
onarım, tamir
onay, tasdik
onur, şeref
oran, nispet
otlak, mera
oy, rey
ozan, şair
öbek, grup
öbür, diğer
ödenti, aidat
ödlek, korkak
ödül, mükafat
ödün, taviz
öfke, hiddet
öğe, unsur
öğrenci, talebe
öğrenim, tahsil
öğüt, nasihat
ömür, hayat, yaşam
önce, evvel
önder, lider
önemli, mühim
öneri, teklif
önlem, tedbir
örgüt, teşkilat
örneğin, mesele
örnek, misal
öteki, diğeri
ötürü, dolayı
öykü, hikaye
özel, hususi
özen, itina
özgün, orijinal
özgür, hür
özlem, hasret
pabuç, ayakkabı
pasif, edilgen
pinti, cimri
pis, kirli
politika, siyaset
rağmen, karşın
rastlantı, tesadüf
rey, oy
rutubet, nem
rüya, düş
rüzgar, yel
problem, sorun
rüştiye, ortaokul
sade, yalın
sağlık, sıhhat
saha, alan
sahil, kıyı, yalı
saldırı, hücum
samimi, içten
sanayi, endüstri
sandalye, iskemle
savaş, harp
saz, çalgı
sebep, neden
sene, yıl
sermaye, kapital
serüven, macera
sıçan, fare
sıhhat, sağlık
sır, giz
sima, yüz
siyah, kara
siyaset, politika
son, nihayet
sonuç, netice
sorun mesele
soylu, asil
sömestri, yarıyıl
söylev, nutuk
sözcük, kelime
sulh, barış
suni, yapay
surat, yüz
sürat, hız
sürekli, devamlı
sevinç, mutluluk
sınıf, derslik
sonbahar, güz
sorumluluk, mesuliyet
sözlük, lügat
sınav, imtihan
şafak, tan
şahıs, kişi
şahit, tanık
şair, ozan
şans, talih
şark, doğu
şart, koşul
şayet, eğer
şef, lider, önder
şehir, kent
şekil, biçim
şen, neşeli
şeref, onur
şöhret, ün
şuur, bilinç
şüphe, kuşku
şaka, latife
tabiat, doğa
tabii, doğal
tabip, hekim, doktor
talebe, öğrenci
talih, şans
tamir, onarım
tane, adet
tanık, şahit
tanım, tarif
tapınak, mabet
taraf, yan
tarım, ziraat
tarif, tanım
tasdik, onay
tebrik, kutlama
tecrübe, deney
tedbir, önlem
teklif, öneri
tekrar, yine
temel, esas
tercüme, çeviri
tertip, düzen
tesadüf, rastlantı
tesir, etki
toplum,  cemiyet
tören, merasim
tuhaf, garip
tutsak, esir
tuvalet, hela, wc
tüm, bütün
tümör, ur
tümce, cümle
tren, şimendifer, katar
tartışma, münakaşa
uçurum, yar
ufak, küçük
uğraş, iş
ulu, yüce
ulus, millet
umumi, genel
umut, ümit
unsur, öğe
us, akıl
uyarı, ikaz
uygar, medeni
uyum, ahenk
uzak, ırak
uzay, feza
uçak, tayyare
usta, ehil
ümit, umut
ünlü, meşhur
ürün, mahsul
üye, aza
ülke, diyar, memleket
ülkü, ideal
üleş, pay
ürem, faiz
vaka, olay
vakit, zaman
varlıklı, zengin
vasıta, araç
vatan, yurt
vazife, görev
vaziyet, durum
vesika, belge
viraj, dönemeç
vücut, gövde
vilayet, il
veteriner, baytar
yalın, sade
yan, taraf
yanıt, cevap
yapay, suni
yapıt, eser
yar, uçurum
yaratık, mahluk
yardımcı, muavin
yargıç, hakim
yarıyıl, sömestri
yas, matem
yasa, kanun
yaş, ıslak
yaşam, hayat, ömür
yaşlı, ihtiyar
yazı, ova
yazım, imla
yekün, toplam
yel, rüzgar
yerel, mahalli
yetenek, kabiliyet
yıl, sene
yine, tekrar
yitik, kayıp
yoksul, fakir, fukara
yöntem, metot
yurt, vatan
yüce, ulu
yürek, kalp
yüz, surat, sima, çehre
yüzyıl, asır
yemek, aş
zaman, vakit
zarar, ziyan
zengin, varlıklı
zeybek, efe
zıt, karşıt
ziraat, tarım
ziyan, zarar
zor, güç
zorunlu, mecburi
zırnık, metelik
zehir, agu
zabit, subay
